Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite
19574963805222;Index;30/04/2024;02/08/2024;Energie active;Consommation;Comptage Brut;Wh
Horodate;Type de releve;EAS F1;EAS F2;EAS F3;EAS F4;EAS F5;EAS F6;EAS F7;EAS F8;EAS F9;EAS F10;EAS D1;EAS D2;EAS D3;EAS D4;EAS T
2024-05-01T00:00:00+02:00;Arrêté quotidien;10747084;12009557;;;;;;;;;7430680;8593822;3312299;3419840;22756641
2024-05-02T00:00:00+02:00;Arrêté quotidien;10757198;12014915;;;;;;;;;7440794;8599180;3312299;3419840;22772113
2024-05-03T00:00:00+02:00;Arrêté quotidien;10764768;12021101;;;;;;;;;7448364;8605366;3312299;3419840;22785869
2024-05-04T00:00:00+02:00;Arrêté quotidien;10772332;12028970;;;;;;;;;7455928;8613235;3312299;3419840;22801302
2024-05-05T00:00:00+02:00;Arrêté quotidien;10778636;12037378;;;;;;;;;7462232;8621643;3312299;3419840;22816014
2024-05-06T00:00:00+02:00;Arrêté quotidien;10785636;12046580;;;;;;;;;7469232;8630845;3312299;3419840;22832216
2024-05-07T00:00:00+02:00;Arrêté quotidien;10796034;12050966;;;;;;;;;7479630;8635231;3312299;3419840;22847000
2024-05-08T00:00:00+02:00;Arrêté quotidien;10802087;12055389;;;;;;;;;7485683;8639654;3312299;3419840;22857476
2024-05-09T00:00:00+02:00;Arrêté quotidien;10808749;12057566;;;;;;;;;7492345;8641831;3312299;3419840;22866315
2024-05-10T00:00:00+02:00;Arrêté quotidien;10814829;12065838;;;;;;;;;7498425;8650103;3312299;3419840;22880667
2024-05-11T00:00:00+02:00;Arrêté quotidien;10821069;12068005;;;;;;;;;7504665;8652270;3312299;3419840;22889074
2024-05-12T00:00:00+02:00;Arrêté quotidien;10828141;12070233;;;;;;;;;7511737;8654498;3312299;3419840;22898374
2024-05-13T00:00:00+02:00;Arrêté quotidien;10837528;12074664;;;;;;;;;7521124;8658929;3312299;3419840;22912192
2024-05-14T00:00:00+02:00;Arrêté quotidien;10845577;12079779;;;;;;;;;7529173;8664044;3312299;3419840;22925356
2024-05-15T00:00:00+02:00;Arrêté quotidien;10852122;12082741;;;;;;;;;7535718;8667006;3312299;3419840;22934863
2024-05-16T00:00:00+02:00;Arrêté quotidien;10860679;12087990;;;;;;;;;7544275;8672255;3312299;3419840;22948669
