Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite
19574963805222;Index;30/04/2024;02/08/2024;Energie active;Production;Comptage Brut;Wh
Horodate;Type de releve;EAS F1;EAS F2;EAS F3;EAS F4;EAS F5;EAS F6;EAS F7;EAS F8;EAS F9;EAS F10;EAS D1;EAS D2;EAS D3;EAS D4;EAS T;EAI T
2024-05-01T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6658820
2024-05-02T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6666182
2024-05-03T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6669804
2024-05-04T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6680134
2024-05-05T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6692157
2024-05-06T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6699024
2024-05-07T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6701176
2024-05-08T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6706426
2024-05-09T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6722075
2024-05-10T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6739968
2024-05-11T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6760110
2024-05-12T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6776863
2024-05-13T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6793339
2024-05-14T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6805137
2024-05-15T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6808960
2024-05-16T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6814399
2024-05-17T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6821077
2024-05-18T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6836961
2024-05-19T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6843700
2024-05-20T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6855687
2024-05-21T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6872732
2024-05-22T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6887800
2024-05-23T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6899944
2024-05-24T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6905889
2024-05-25T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6920291
2024-05-26T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6935321
2024-05-27T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6942407
2024-05-28T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6948132
2024-05-29T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6963345
2024-05-30T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6973307
2024-05-31T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6983788
2024-06-01T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;6990531
2024-06-02T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7000922
2024-06-03T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7003951
2024-06-04T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7011929
2024-06-05T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7025832
2024-06-06T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7042908
2024-06-07T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7051142
2024-06-08T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7066715
2024-06-09T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7075206
2024-06-10T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7086236
2024-06-11T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7103337
2024-06-12T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7110376
2024-06-13T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7124435
2024-06-14T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7145438
2024-06-15T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7151484
2024-06-16T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7168613
2024-06-17T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7181296
2024-06-18T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7192504
2024-06-19T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7210649
2024-06-20T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7228050
2024-06-21T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7231847
2024-06-22T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7241360
2024-06-23T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7247880
2024-06-24T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7258951
2024-06-25T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7275579
2024-06-26T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7291297
2024-06-27T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7304923
2024-06-28T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7317061
2024-06-29T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7332164
2024-06-30T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7336242
2024-07-01T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7341416
2024-07-02T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7353533
2024-07-03T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7366489
2024-07-04T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7374048
2024-07-05T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7387440
2024-07-06T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7403159
2024-07-07T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7409621
2024-07-08T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7415523
2024-07-09T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7435200
2024-07-10T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7452362
2024-07-11T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7462599
2024-07-12T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7476195
2024-07-13T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7484663
2024-07-14T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7502449
2024-07-15T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7516452
2024-07-16T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7528832
2024-07-17T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7543617
2024-07-18T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7561663
2024-07-19T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7577892
2024-07-20T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7588545
2024-07-21T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7601686
2024-07-22T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7613801
2024-07-23T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7628518
2024-07-24T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7648374
2024-07-25T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7666496
2024-07-26T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7687031
2024-07-27T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7707662
2024-07-28T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7722486
2024-07-29T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7741371
2024-07-30T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7752250
2024-07-31T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7766555
2024-08-01T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7780431
2024-08-02T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;;7791741
